id,original_text,lang,retweet_count,original_author,sentiment_class
1.25E+18,Happy #MothersDay to all you amazing mothers out there! I know it's hard not being able to see your mothers today but it's on all of us to do what we can to protect the most vulnerable members of our society. #BeatCoronaVirus pic.twitter.com/va4nFjFQ5B,en,0,BeenXXPired,0
1.25E+18,Happy Mothers Day Mum - I'm sorry I can't be there to bring you Mothers day flowers & a cwtch - honestly at this point I'd walk on hot coals to be able to. But I'll be there with bells on as soon as I can be. Love you lots xxx (p.s we need more photos!) https:// photos.app.goo.gl/M3vXBLrsCzD4TE bY7 …,en,1,FestiveFeeling,0
1.25E+18,"Happy mothers day To all This doing a mothers days work. Today been quiet but Had time to reflect. Dog walk, finish a jigsaw do the garden, learn few more guitar chords, drunk some strawberry gin and tonic and watch Lee evens on DVD. My favourite place to visit. #isolate pic.twitter.com/GZ0xVvF6f9",en,0,KrisAllenSak,-1
1.24E+18,Happy mothers day to this beautiful woman...royalty soothes you mummy jeremy and emerald and more #PrayForRoksie #UltimateLoveNG pic.twitter.com/oeetI22Pvv,en,0,Queenuchee,0
1.24E+18,"Remembering the 3 most amazing ladies who made me who I am! My late grandmother iris, mum carol and great grandmother Ethel. Missed but never forgotten! Happy mothers day to all those great mums out there! Love sent to all xxxx pic.twitter.com/xZZZdEybjE",en,0,brittan17446794,-1
1.24E+18,HAPPY MOTHER’S DAY! BRATZ WORLD FAMILIEZ YASMIN & HER MUM! (PORTIA) #bratz #bratzworldfamiliez #bratz2008 #bratzkidz #bratzyasmin #bratzportia #theonlygirlswithapassionforfashion #bratzdolls #bratzcollector #happymothersday #mothersday #mothersday2020 #azdoesmakeup pic.twitter.com/5m1T81zhpU,en,0,chotia_mudit,0
1.24E+18,Happy Mother’s Day to all you wonderful mums out there! #mothersday #cupcakes #supermums #traceyscakecraft #couturesugarpaste #saracinouk #hinckley @Tracey's CakeCraft https://www. instagram.com/p/B-CUzHjg-Au/ ?igshid=lf3elmlv7q7g …,en,0,essentialartss,1
1.24E+18,Show me a mother of two as sexy as Rosie Happy Mothers Day beautiful Rosie @officiallrosie I love you #HappyMothersDayRosie #HappyMothersDay2020 #WhyILoveRoksie #Roksie pic.twitter.com/6oMZGHcIVe,en,0,gmassaro7,1
1.24E+18,"To all the mothers, grandmothers, aunts, sisters and women in our lives who care for and love us unconditionally, Happy Mothers’ Day ! #MothersDay pic.twitter.com/ejatt1aH4z",en,0,LToddWood,1
1.25E+18,"To all the mothers around the World, Gas To Health Initiative wishes them a Happy Mother's Day! - #gthi #mothersday2020 #MotheringSunday #MothersDay #lpg #motherhood #motherslove #gastohealth #argus #lpgn #nigeria #cookinggas #Cooking #MothersDayShoutOut #mothers #mama pic.twitter.com/csq1jOiC1z",en,0,LiveGoodProduct,0
1.25E+18,Happy Mothers Day To all the Mothers around the word. #mothersday #mother #mom https://www. instagram.com/p/B-EjXQaFtja/ ?igshid=dcgderf6tgj2 …,en,0,Dodgers_jedicid,0
1.25E+18,"HAPPY MOTHERS DAY , CHRISTINE | DAILY LIFE For the full video click the link below. If you enjoy this video, please share it and click Subscribe on YouTube for more like it. Then click the Bell icon to get notifications of new videos. https:// buff.ly/2QAIlzV pic.twitter.com/Askk1nKFvu",en,3,Mekialaya,1
1.25E+18,Happy Mother's Day! Check out my latest blog at http:// sallycleggart.co.uk/index.php/sall ys-blog/ … http:// sallycleggart.co.uk #art #newart #artist #newartist #blog #newblog #mothersday2020 #mothersday #coronavirus #COVIDー19 #Isolation pic.twitter.com/bqsWJkzPoa,en,1,lindab142,1
1.24E+18,"Happy Mothers Day to everyone tuning in. This is the 4th Round game between me and @CastigersJ Live coverage on @Twitter , maybe one day @SkySportsRL or on the OurLeague app",en,0,RudieObias,-1
1.25E+18,Happy mother's day! I got a playdoh worm cake from my beloved 3yo o.O at least he warned me to only pretend eat it lol #MothersDay #MomsOfBoys #preschooler,en,1,PKellenbarger18,0
1.25E+18,Happy Mothers Day to all you amazing Mums out there! Keep being awesome! It's probably not been your normal mothers day but a mothers love is one that can overcome even the toughest of challenges. Hope you've all… https://www. instagram.com/p/B-C-0nZlrVe/ ?igshid=1e6tgbc5wrbx3 …,en,0,D_Cassandra_D,0
1.24E+18,A poem I’ve written for my wife on Mother’s Day. Happy Mother’s Day xxxxxxx #family #motherhood #mumlife #motherday #mum #mother #happymothersday #treatyourmum #mothersdayflowers #sundaylunch #mothersday pic.twitter.com/QFPelF7OLb,en,0,andreaanderegg,0
1.24E+18,Happy Mothers Day ! We hope your mums aren't planning to do any work around the house today! Surely it can wait until next week? #plumbers #heatingspecialists #mothersday #mothersday pic.twitter.com/PnunD1pPl4,en,0,RaffaellaPino,-1
1.24E+18,Wishing all our Mamas a relaxing Mothers Day in these challenging times ​ ​ Happy Mother's day. ​ ​ #sweatymama #postnatalfitness #postnatalbody #sweatymamaclass pic.twitter.com/d9CImgzxcl,en,0,review_prime,1
1.24E+18,Happy mothersday to all those celebrating today. This is my most favourite woman in the whole entire world and I love her to pieces Big hugs to those whom today might be hard for xxx https://www. instagram.com/p/B-CY08zA0kB/ ?igshid=wok5zcr2y5am …,-0.013832502,en,11,0
1.24E+18,The hands that always lift's me when i fall. The person that always supports me for every second of my life. My Queen my everything my mother. HAPPY MOTHERS DAY,en,0,TheKangarooCrew,1
1.24E+18,"Happy mothers day to my strong, adorable and hilarious muma, antons muma in heaven, antons sisters, my amazing friends with beautiful babies, my aunties, my godmother, my nonna, my stepmum and my grannys. Love you all unconditionally forever pic.twitter.com/k4twjBPbYj",en,0,grouptherapy33,1
1.25E+18,Happy Mother's Day Lisa @chopdrog58 Fantastic Work from Team @chopdrog58 looking after the staff in the Newgrange ward in the Lourdes hospital #LouthChat #feedthehores #MothersDay pic.twitter.com/VN33uAwanx,en,0,momstsmodel,1
1.25E+18,"Happy mothers day to this beautiful, hard working ,brilliant ,perfect support system ,my padi and fantastic wife and friend ......Thank you for all you do for me and the kids...God bless you ......and I love you . https://www. instagram.com/p/B-C37IwJcNr/ ?igshid=zpfxw5j8zmt7 …",en,0,leticiakane4,1
1.24E+18,"Today we celebrate a love so pure, inexhaustible and unconditional. We thank our mothers for all they’ve done in making us who we are and who we’ll become. Happy Mother’s Day!! #MothersDay #HappyMothersDay #Norrenberger pic.twitter.com/JQmvYuSuCP",en,0,LToddWood,0
